,article_name,country,region,article_quality,revision_id,population
73,Abdul Karim Misaq,Afghanistan,SOUTH ASIA,Stub,1052669338,41.1
74,Ali Mohammad (politician),Afghanistan,SOUTH ASIA,Stub,1050463798,41.1
75,Nasruddin Mohseni,Afghanistan,SOUTH ASIA,Start,1095044526,41.1
76,Davood Moradian,Afghanistan,SOUTH ASIA,Stub,1106284627,41.1
77,Zalmai Mujadidi,Afghanistan,SOUTH ASIA,Start,1104635001,41.1
78,Fazal Haq Mujahid,Afghanistan,SOUTH ASIA,C,1113267490,41.1
79,Rahmatullah Nabil,Afghanistan,SOUTH ASIA,Start,1112496538,41.1
80,Sardar Mohammad Nadir Naeem,Afghanistan,SOUTH ASIA,Stub,1038680015,41.1
81,Daoud Naji,Afghanistan,SOUTH ASIA,Start,1110983467,41.1
82,Gholam Rabani Nasher,Afghanistan,SOUTH ASIA,Stub,916899472,41.1
83,Muhammad Yunus Nawandish,Afghanistan,SOUTH ASIA,C,1111494390,41.1
84,Ali Maisam Nazary,Afghanistan,SOUTH ASIA,Start,1107279930,41.1
85,Ghulam Faroq Nijrabi,Afghanistan,SOUTH ASIA,Stub,1093612575,41.1
86,Zabih-U-llah Ghazi Noristani,Afghanistan,SOUTH ASIA,Start,1001786762,41.1
87,Mohammed Tahir Omar,Afghanistan,SOUTH ASIA,Stub,996093541,41.1
88,Nasrin Oryakhil,Afghanistan,SOUTH ASIA,Start,1097277701,41.1
89,Murad Quenili,Afghanistan,SOUTH ASIA,Stub,1093963498,41.1
90,Ghulam Mohammad Rigi,Afghanistan,SOUTH ASIA,Stub,918256992,41.1
91,Ghulam Hassan Safi,Afghanistan,SOUTH ASIA,Stub,987269301,41.1
92,Hanifa Safi,Afghanistan,SOUTH ASIA,Stub,994195074,41.1
93,Amrullah Saleh,Afghanistan,SOUTH ASIA,FA,1115022704,41.1
94,Mohammed Zia Salehi,Afghanistan,SOUTH ASIA,Stub,889806024,41.1
95,Abdul Majid Samim,Afghanistan,SOUTH ASIA,Stub,1098092701,41.1
96,Saber Sangar,Afghanistan,SOUTH ASIA,Stub,1019860497,41.1
97,Muhammad Arif Sarwari,Afghanistan,SOUTH ASIA,Start,1079170926,41.1
98,Sayed Nasim Mihanparast,Afghanistan,SOUTH ASIA,Stub,1115496635,41.1
99,Sayyid Husayn,Afghanistan,SOUTH ASIA,Stub,1095559301,41.1
100,Suhail Shaheen,Afghanistan,SOUTH ASIA,Start,1102910228,41.1
101,Mohammad Shakir Kargar,Afghanistan,SOUTH ASIA,C,1096574840,41.1
102,Baktash Siawash,Afghanistan,SOUTH ASIA,Stub,1111917754,41.1
103,Awtar Singh,Afghanistan,SOUTH ASIA,Stub,1115100619,41.1
104,Hasan Ali Sultani,Afghanistan,SOUTH ASIA,Stub,1060706902,41.1
105,Faramarz Tamanna,Afghanistan,SOUTH ASIA,C,1106885861,41.1
106,Mohammad Hashem Taufiqui,Afghanistan,SOUTH ASIA,Start,1021308429,41.1
107,Nur ul-Haq Ulumi,Afghanistan,SOUTH ASIA,GA,1107429109,41.1
108,Pacha Gul Wafadar,Afghanistan,SOUTH ASIA,Stub,1020846299,41.1
109,Wahidullah Waissi,Afghanistan,SOUTH ASIA,C,1111508295,41.1
110,Gul Ahmmad Yama,Afghanistan,SOUTH ASIA,Start,1060707715,41.1
111,Al-Haj Suliman Yari,Afghanistan,SOUTH ASIA,Stub,1092426408,41.1
112,Abdul Salam Zaeef,Afghanistan,SOUTH ASIA,GA,1106388504,41.1
113,Abdul Zahir (Konar Education Minister),Afghanistan,SOUTH ASIA,Stub,1097261199,41.1
114,Mohammed Zaman,Afghanistan,SOUTH ASIA,Start,1108389318,41.1
115,Ziauddin (Afghan militia leader),Afghanistan,SOUTH ASIA,Start,1095799892,41.1
116,Qari Ziauddin,Afghanistan,SOUTH ASIA,Start,1033608758,41.1
117,Abdul Ghafor Zori,Afghanistan,SOUTH ASIA,Stub,994023417,41.1
118,Ali Pasha of Gusinje,Albania,SOUTHERN EUROPE,GA,1114426634,2.8
119,Ylli Asllani,Albania,SOUTHERN EUROPE,Start,949182924,2.8
120,Azis Tahir Ajdonati,Albania,SOUTHERN EUROPE,Stub,994501003,2.8
121,Bislim Bajgora,Albania,SOUTHERN EUROPE,Start,1091800566,2.8
122,Kastriot Berissa,Albania,SOUTHERN EUROPE,Start,1094050369,2.8
123,Bardhok Biba,Albania,SOUTHERN EUROPE,C,1110580984,2.8
124,Dervish Biçaku,Albania,SOUTHERN EUROPE,Stub,1106794267,2.8
125,Kostandin Boshnjaku,Albania,SOUTHERN EUROPE,C,1107876476,2.8
126,Spartak Braho,Albania,SOUTHERN EUROPE,Start,1098235893,2.8
127,Safet Butka,Albania,SOUTHERN EUROPE,C,1067080697,2.8
128,Uran Butka,Albania,SOUTHERN EUROPE,Start,1087272778,2.8
129,Refo Çapari,Albania,SOUTHERN EUROPE,Start,1061419179,2.8
130,Neritan Ceka,Albania,SOUTHERN EUROPE,Start,1095178618,2.8
131,Hysni Curri,Albania,SOUTHERN EUROPE,Start,1114418989,2.8
